Royal Mail chairman Donald Brydon set to step down,negative
Stakes High for AstraZeneca Heart Drug Facing Tough Competition,negative
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,negative
Insight hires Aviva's David Hillier for multi-asset team,positive
Primark racks up a happy Christmas after strong sales,positive
UPDATE 1-Pearson expects to grow this year after solid end to 2014,positive
Tesco sells Blinkbox and broadband service to TalkTalk,positive
Unilever profit rises despite sales slump in China,positive
Tesco leads leap in FTSE 100; Marks & Spencer drops,positive
Royal Dutch Shell profit rises; dividend up 4%,positive
Morning Agenda: Shire's Deal for NPS,positive
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,positive
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,positive
Passengers rise at EasyJet and Aer Lingus,positive
Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,negative
"FDA approves NPS drug, in move validating Shire takeover deal",positive
Ocwen Reaches Settlement With California Regulator,positive
Morrisons faces festive sales test,negative
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,negative
Shire to buy NPS for $5.2 billion to boost rare disease drugs,positive
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,positive
FDA approves Shire's Vyvanse for binge-eating disorder,positive
Companies Thetrainline.com announces arrival of London IPO,positive
Breakingviews: IAG can pay more for Aer Lingus,positive
Tesco share price jumps as Q3 sales top estimates,positive
CRH's concrete bid for Holcim Lafarge assets,positive
Persimmon share price climbs on 23% rise in full-year revenue,positive
Ruling sets lower limit on potential fine for BP,negative
Reed Elsevier share price slides on underwhelming full-year results,negative
UPDATE 1-Meggitt reiterates annual outlook after tough 2014,positive
Slump in Weir leads FTSE down from record high,negative
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,positive
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,positive
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,positive
Meggitt share price tumbles as profit falls in 'challenging year',negative
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,negative
ARM Royalties Accelerate as Smartphone Market Regains Strength,positive
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,positive
BG Group appoints new CEO one month early,positive
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",negative
U.S. Debt Lures Schroders as ECB Depresses Rates,positive
Tullow Oil Suspends Dividend Amid Oil Price Fall,negative
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",negative
Standard Chartered lags on capital worries,negative
Standard Life share price: Insurer buys advice firm Pearson Jones,positive
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,positive
MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,positive
RBS will reportedly appoint Howard Davies as its next chairman,positive
HSBC Hit by Fresh Details of Tax Evasion Claims,negative
Relief for Lewis as Tesco sees sales grow for first time in a year,positive
Morrisons finance chief to fill gap as CEO leaves early,negative
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",positive
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,positive
Tesco shareholders back ITV head for chairman,positive
"Buffett's Berkshire builds Deere stake, dumps Exxon",positive
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,negative
AstraZeneca's patent on asthma drug invalidated by US court,negative
Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,negative
Whitbread share price climbs on Q4 sales growth,positive
Warren Buffett defends Berkshire Hathaway's conglomerate structure,positive
G4S sees profits rise but UK contract problems remain,positive
Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,positive
Auto Trader share price surges as company floats on LSE,positive
New Credit Suisse boss faces stiff challenge in Asia,negative
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",positive
Is It Worth Investing In Tesco PLC And Prudential plc Now?,positive
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,positive
Sainsbury's says to outperform rivals in tough market,positive
CompaniesKingfisher bid for Mr Bricolage runs into trouble,negative
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,positive
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",positive
GSK and Novartis complete deals to reshape both drugmakers,positive
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,positive
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",positive
British American Tobacco drops and sues PwC over pollution scandal,negative
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,negative
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",negative
How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,positive
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,positive
RBI surprises Street; Sensex pares gains after hitting mount 30k,negative
Credit Suisse poaches Prudential's Thiam for Asian push,positive
Kingfisher takeover of Mr Bricolage could hit a brick wall,negative
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",negative
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,positive
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,positive
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,positive
Randgold profit hit by poor gold price but dividend still increases,negative
"CompaniesTravis Perkins lifts dividend, earnings rise 15%",positive
Market Report: Aviva tops the market as traders approve of its choice of Friends,positive
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,positive
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",positive
CompaniesDiageo stays neutral on India boardroom turmoil,neutral
Germanwings disaster will not affect image of budget air travel - easyJet,negative
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative
Shell offers 50 percent premium to buy BG for $70 billion,positive
WPP boosts sales despite cautious clients,positive
Shell to buy BG Group in $69.7 billion takeover,positive
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,positive
UPDATE 1-BP shareholders back more disclosure on climate change risks,positive
